-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.193, 0.120,  0.247
-183.796, 80.186, 0.262,  0.280
-183.793, 80.174, 0.358,  0.313
-183.788, 80.158, 0.469,  0.346
-183.783, 80.139, 0.573,  0.379
-183.777, 80.114, 0.768,  0.412
-183.768, 80.081, 1.033,  0.445
-183.759, 80.039, 1.253,  0.478
-183.748, 79.992, 1.443,  0.511
-183.738, 79.940, 1.593,  0.544
-183.727, 79.884, 1.679,  0.577
-183.716, 79.828, 1.719,  0.610
-183.706, 79.771, 1.735,  0.643
-183.696, 79.714, 1.734,  0.676
-183.687, 79.658, 1.719,  0.709
-183.678, 79.603, 1.694,  0.742
-183.669, 79.549, 1.662,  0.775
-183.661, 79.496, 1.624,  0.808
-183.653, 79.445, 1.558,  0.841
-183.646, 79.396, 1.498,  0.874
-183.639, 79.349, 1.446,  0.907
-183.632, 79.303, 1.405,  0.940
-183.626, 79.258, 1.377,  0.973
-183.620, 79.213, 1.363,  1.006
-183.614, 79.168, 1.363,  1.039
-183.607, 79.123, 1.377,  1.072
-183.601, 79.077, 1.403,  1.105
-183.595, 79.030, 1.437,  1.138
-183.589, 78.981, 1.478,  1.171
-183.584, 78.930, 1.518,  1.204
-183.578, 78.879, 1.555,  1.237
-183.572, 78.826, 1.586,  1.270
-183.566, 78.773, 1.608,  1.303
-183.560, 78.719, 1.621,  1.336
-183.554, 78.666, 1.626,  1.369
-183.548, 78.612, 1.624,  1.402
-183.542, 78.558, 1.617,  1.435
-183.536, 78.505, 1.607,  1.468
-183.531, 78.452, 1.597,  1.501
-183.525, 78.400, 1.587,  1.534
-183.519, 78.348, 1.579,  1.567
-183.514, 78.296, 1.575,  1.600
-183.508, 78.244, 1.574,  1.633
-183.503, 78.191, 1.577,  1.666
-183.497, 78.139, 1.583,  1.699
-183.492, 78.086, 1.592,  1.732
